,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
0,저희 아파트 경비아저씨의 억울함을 풀어주세요...,2020. 05. 11,2020. 06. 10,"446,434",2020. 07. 08,https://www1.president.go.kr/petitions/588752
1,"울산 초등학교 1학년 아이에게 팬티빨기 숙제내고 학생 사진에 '섹시팬티', '공주님 수줍게 클리어', '매력적이고 섹시한 00'이라고 성희롱한 남교사를 파면해 주세요.",2020. 04. 28,2020. 05. 28,"225,764",2020. 06. 26,https://www1.president.go.kr/petitions/588455
2,등교 개학 시기를 미루어주시기 바랍니다.,2020. 04. 24,2020. 05. 24,"255,333",2020. 06. 24,https://www1.president.go.kr/petitions/588340
3,방송통신위원회는 방송의 공적 책임 방기하고  언론이기를 포기한 채널A와 TV조선의 재승인을 취소하라,2020. 04. 07,2020. 05. 07,"273,513",2020. 06. 05,https://www1.president.go.kr/petitions/587827
4,렌트카 훔쳐 사망사고를 낸 10대 엄중 처벌해주세요,2020. 04. 02,2020. 05. 02,"1,007,040",2020. 06. 02,https://www1.president.go.kr/petitions/587624
5,세월호 전면재수사,2020. 04. 01,2020. 05. 01,"216,118",2020. 06. 01,https://www1.president.go.kr/petitions/587604
6,자가격리를 어기고 제주도 4박5일 여행.미국유학생 강남구 **번 확진자 처벌해주세요,2020. 03. 27,2020. 04. 26,"207,563",2020. 05. 25,https://www1.president.go.kr/petitions/587334
7,수출용 코로나19 진단키트 이름을 독도로 해주세요,2020. 03. 25,2020. 04. 24,"385,617",2020. 05. 25,https://www1.president.go.kr/petitions/587169
8,유/아동 성착취 동영상 유통시킨 다크웹 손모씨의 미국 법무부 강제송환을 실행해주십시오.,2020. 03. 23,2020. 04. 22,"219,721",2020. 05. 22,https://www1.president.go.kr/petitions/586926
9,"N번방 담당판사 오덕식을 판사자리에 반대,자격박탈을 청원합니다.",2020. 03. 27,2020. 04. 26,"466,900",2020. 05. 22,https://www1.president.go.kr/petitions/587323
10,박사방 회원 중 여아살해모의한 공익근무요원 신상공개를 원합니다.,2020. 03. 29,2020. 04. 28,"519,948",2020. 05. 22,https://www1.president.go.kr/petitions/587335
11,<텔레그램 n번방 사건 특별조사팀을 서지현 검사를 필두로 한 80%이상 여성 조사팀으로 만들어 주십시오>,2020. 03. 24,2020. 04. 23,"286,101",2020. 05. 22,https://www1.president.go.kr/petitions/587130
12,민식이 법 개정을 청원합니다.,2020. 03. 23,2020. 04. 22,"354,857",2020. 05. 20,https://www1.president.go.kr/petitions/586941
13,저희 25개월딸이 초등학생 5학년에게 성폭행을 당했습니다,2020. 03. 20,2020. 04. 19,"533,883",2020. 05. 19,https://www1.president.go.kr/petitions/586860
14,저의 아들이 6년간다닌어린이집 에서 남자원장으로부터 3년간 성폭행을 당했습니다,2020. 02. 07,2020. 03. 08,"271,123",2020. 05. 19,https://www1.president.go.kr/petitions/585007
15,초등학생을 성폭행하고 찍은 불법촬영물로 협박해 금품을 갈취하여 인생을 망가뜨린 고등학생의 엄중한 처벌을 요구합니다,2020. 03. 20,2020. 04. 19,"354,260",2020. 05. 19,https://www1.president.go.kr/petitions/586878
16,“오늘 너 킬(KILL)한다”라며 술을 먹이고 제 딸을 합동 강간한 미성년자들을 고발합니다.,2020. 03. 29,2020. 04. 28,"400,474",2020. 05. 19,https://www1.president.go.kr/petitions/587352
17,"성전환 수술, 즉 외부성기 수술 없이도 남녀 성별을 변경하는 성별정정을 막아 주십시오.",2020. 03. 13,2020. 04. 12,"223,769",2020. 05. 08,https://www1.president.go.kr/petitions/586650
18,코로나19로 위기에 처한  국민들을위해 국회의원들의 월급반납 또는 삭감을  건의합니다,2020. 03. 12,2020. 04. 11,"439,648",2020. 05. 08,https://www1.president.go.kr/petitions/586609
19,저는 아버지에게 15년동안 성폭행을 당했습니다. 도와주세요.,2020. 03. 02,2020. 04. 01,"248,515",2020. 05. 01,https://www1.president.go.kr/petitions/585926
20,한전 사업에 중국 기업의 참여를 허락하는 것은 말도 안됩니다.,2020. 02. 26,2020. 03. 27,"383,039",2020. 04. 27,https://www1.president.go.kr/petitions/585665
