행정구역,2020년06월_계_총인구수,2020년06월_계_연령구간인구수,2020년06월_계_0~4세,2020년06월_계_5~9세,2020년06월_계_10~14세,2020년06월_계_15~19세,2020년06월_계_20~24세,2020년06월_계_25~29세,2020년06월_계_30~34세,2020년06월_계_35~39세,2020년06월_계_40~44세,2020년06월_계_45~49세,2020년06월_계_50~54세,2020년06월_계_55~59세,2020년06월_계_60~64세,2020년06월_계_65~69세,2020년06월_계_70~74세,2020년06월_계_75~79세,2020년06월_계_80~84세,2020년06월_계_85~89세,2020년06월_계_90~94세,2020년06월_계_95~99세,2020년06월_계_100세 이상,2020년06월_남_총인구수,2020년06월_남_연령구간인구수,2020년06월_남_0~4세,2020년06월_남_5~9세,2020년06월_남_10~14세,2020년06월_남_15~19세,2020년06월_남_20~24세,2020년06월_남_25~29세,2020년06월_남_30~34세,2020년06월_남_35~39세,2020년06월_남_40~44세,2020년06월_남_45~49세,2020년06월_남_50~54세,2020년06월_남_55~59세,2020년06월_남_60~64세,2020년06월_남_65~69세,2020년06월_남_70~74세,2020년06월_남_75~79세,2020년06월_남_80~84세,2020년06월_남_85~89세,2020년06월_남_90~94세,2020년06월_남_95~99세,2020년06월_남_100세 이상,2020년06월_여_총인구수,2020년06월_여_연령구간인구수,2020년06월_여_0~4세,2020년06월_여_5~9세,2020년06월_여_10~14세,2020년06월_여_15~19세,2020년06월_여_20~24세,2020년06월_여_25~29세,2020년06월_여_30~34세,2020년06월_여_35~39세,2020년06월_여_40~44세,2020년06월_여_45~49세,2020년06월_여_50~54세,2020년06월_여_55~59세,2020년06월_여_60~64세,2020년06월_여_65~69세,2020년06월_여_70~74세,2020년06월_여_75~79세,2020년06월_여_80~84세,2020년06월_여_85~89세,2020년06월_여_90~94세,2020년06월_여_95~99세,2020년06월_여_100세 이상
서울특별시  (1100000000),"9,720,846","9,720,846","285,920","360,318","370,357","430,020","642,527","822,973","729,356","767,508","725,682","821,942","781,385","750,956","704,561","512,957","395,923","301,176","184,046","85,359","32,294","9,052","6,534","4,732,275","4,732,275","147,009","184,861","190,557","219,679","308,184","404,855","364,153","385,004","359,134","407,453","385,546","366,636","334,792","240,208","181,659","136,086","75,534","28,433","8,371","2,411","1,710","4,988,571","4,988,571","138,911","175,457","179,800","210,341","334,343","418,118","365,203","382,504","366,548","414,489","395,839","384,320","369,769","272,749","214,264","165,090","108,512","56,926","23,923","6,641","4,824"
서울특별시 종로구 (1111000000),"150,383","150,383","3,346","4,550","5,091","6,218","10,710","12,736","10,106","10,040","9,888","12,753","12,886","12,776","11,297","8,259","6,681","5,914","3,892","1,920",770,283,267,"73,288","73,288","1,683","2,313","2,581","3,124","5,026","6,538","5,066","4,957","4,734","6,275","6,382","6,525","5,685","4,005","3,015","2,597","1,612",710,255,117,88,"77,095","77,095","1,663","2,237","2,510","3,094","5,684","6,198","5,040","5,083","5,154","6,478","6,504","6,251","5,612","4,254","3,666","3,317","2,280","1,210",515,166,179
서울특별시 중구 (1114000000),"126,092","126,092","3,449","3,648","3,108","4,023","7,784","10,781","10,186","10,207","8,717","9,671","10,339","10,600","9,884","7,344","5,761","4,840","3,135","1,560",660,198,197,"61,697","61,697","1,745","1,856","1,550","2,021","3,616","5,295","5,052","5,167","4,501","4,850","5,292","5,371","4,970","3,598","2,621","2,129","1,244",495,204,56,64,"64,395","64,395","1,704","1,792","1,558","2,002","4,168","5,486","5,134","5,040","4,216","4,821","5,047","5,229","4,914","3,746","3,140","2,711","1,891","1,065",456,142,133
서울특별시 용산구 (1117000000),"229,431","229,431","6,581","7,330","7,212","8,752","13,806","19,461","18,872","19,252","16,704","19,230","18,709","17,949","16,408","11,642","9,307","7,895","5,583","2,793","1,165",417,363,"110,527","110,527","3,439","3,756","3,633","4,481","6,486","9,416","9,355","9,641","8,201","9,450","9,239","8,945","7,919","5,398","4,093","3,366","2,114",991,338,162,104,"118,904","118,904","3,142","3,574","3,579","4,271","7,320","10,045","9,517","9,611","8,503","9,780","9,470","9,004","8,489","6,244","5,214","4,529","3,469","1,802",827,255,259
서울특별시 성동구 (1120000000),"297,397","297,397","10,526","10,583","9,379","11,422","20,171","25,458","24,125","25,757","22,006","24,013","24,214","23,677","21,240","14,571","11,341","9,231","5,707","2,588",910,237,241,"145,258","145,258","5,414","5,364","4,815","5,581","9,766","12,805","11,539","12,959","11,154","11,915","11,983","11,928","10,485","6,879","5,148","4,038","2,238",865,242,71,69,"152,139","152,139","5,112","5,219","4,564","5,841","10,405","12,653","12,586","12,798","10,852","12,098","12,231","11,749","10,755","7,692","6,193","5,193","3,469","1,723",668,166,172
서울특별시 광진구 (1121500000),"349,574","349,574","9,071","11,568","12,167","14,519","26,584","35,984","29,562","27,603","25,056","28,507","28,201","26,868","24,688","16,872","12,596","9,685","5,976","2,601",976,279,211,"168,879","168,879","4,622","5,900","6,260","7,320","12,223","17,320","14,539","13,671","12,421","14,018","13,609","13,246","11,796","7,951","5,797","4,432","2,490",868,275,70,51,"180,695","180,695","4,449","5,668","5,907","7,199","14,361","18,664","15,023","13,932","12,635","14,489","14,592","13,622","12,892","8,921","6,799","5,253","3,486","1,733",701,209,160
서울특별시 동대문구 (1123000000),"345,593","345,593","10,016","11,485","11,072","13,594","26,153","29,973","24,475","26,514","24,296","27,297","27,130","26,801","26,171","19,461","15,339","12,774","7,681","3,472","1,212",375,302,"171,392","171,392","5,134","5,859","5,666","6,805","12,225","15,784","12,765","13,661","12,587","14,036","13,742","13,374","12,789","9,289","6,988","5,713","3,218","1,207",333,125,92,"174,201","174,201","4,882","5,626","5,406","6,789","13,928","14,189","11,710","12,853","11,709","13,261","13,388","13,427","13,382","10,172","8,351","7,061","4,463","2,265",879,250,210
서울특별시 중랑구 (1126000000),"394,414","394,414","10,943","12,692","12,428","15,097","24,168","31,863","28,465","29,889","27,158","31,161","34,230","35,736","33,059","23,462","17,620","13,347","7,878","3,450","1,236",333,199,"195,349","195,349","5,641","6,559","6,351","7,687","12,100","15,831","14,525","15,640","14,251","15,832","16,898","17,690","16,122","11,307","8,143","5,986","3,279","1,101",279,82,45,"199,065","199,065","5,302","6,133","6,077","7,410","12,068","16,032","13,940","14,249","12,907","15,329","17,332","18,046","16,937","12,155","9,477","7,361","4,599","2,349",957,251,154
서울특별시 성북구 (1129000000),"441,812","441,812","13,036","17,021","17,342","21,097","32,749","34,393","28,641","32,593","32,142","39,228","36,356","33,367","31,196","22,748","18,461","15,252","9,569","4,263","1,587",396,375,"213,431","213,431","6,690","8,659","8,938","10,595","15,008","17,500","14,301","16,231","15,776","19,370","18,124","16,193","14,815","10,570","8,070","6,672","3,861","1,459",413,93,93,"228,381","228,381","6,346","8,362","8,404","10,502","17,741","16,893","14,340","16,362","16,366","19,858","18,232","17,174","16,381","12,178","10,391","8,580","5,708","2,804","1,174",303,282
서울특별시 강북구 (1130500000),"311,773","311,773","7,109","9,579","10,127","12,645","20,268","23,053","18,803","21,016","21,519","26,553","26,615","26,642","25,626","19,459","16,283","13,656","7,949","3,164","1,131",332,244,"152,028","152,028","3,673","4,960","5,213","6,510","9,587","11,635","9,861","11,103","11,108","13,484","13,077","12,927","12,153","8,818","7,102","5,941","3,301","1,106",319,90,60,"159,745","159,745","3,436","4,619","4,914","6,135","10,681","11,418","8,942","9,913","10,411","13,069","13,538","13,715","13,473","10,641","9,181","7,715","4,648","2,058",812,242,184
