행정구역,2020년06월_총인구수,2020년06월_세대수,2020년06월_세대당 인구,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년06월_남여 비율
서울특별시  (1100000000),"9,720,846","4,384,076",2.22,"4,732,275","4,988,571",0.95
서울특별시 종로구 (1111000000),"150,383","74,497",2.02,"73,288","77,095",0.95
서울특별시 중구 (1114000000),"126,092","63,354",1.99,"61,697","64,395",0.96
서울특별시 용산구 (1117000000),"229,431","111,586",2.06,"110,527","118,904",0.93
서울특별시 성동구 (1120000000),"297,397","135,937",2.19,"145,258","152,139",0.95
서울특별시 광진구 (1121500000),"349,574","166,307",2.1,"168,879","180,695",0.93
서울특별시 동대문구 (1123000000),"345,593","166,451",2.08,"171,392","174,201",0.98
서울특별시 중랑구 (1126000000),"394,414","183,310",2.15,"195,349","199,065",0.98
서울특별시 성북구 (1129000000),"441,812","195,064",2.26,"213,431","228,381",0.93
서울특별시 강북구 (1130500000),"311,773","145,559",2.14,"152,028","159,745",0.95
서울특별시 도봉구 (1132000000),"329,560","138,966",2.37,"160,855","168,705",0.95
서울특별시 노원구 (1135000000),"528,887","217,897",2.43,"255,624","273,263",0.94
서울특별시 은평구 (1138000000),"479,524","210,664",2.28,"230,640","248,884",0.93
서울특별시 서대문구 (1141000000),"312,720","143,323",2.18,"149,920","162,800",0.92
서울특별시 마포구 (1144000000),"374,390","177,544",2.11,"176,664","197,726",0.89
서울특별시 양천구 (1147000000),"457,953","179,677",2.55,"224,908","233,045",0.97
서울특별시 강서구 (1150000000),"586,936","265,252",2.21,"283,697","303,239",0.94
서울특별시 구로구 (1153000000),"405,075","178,367",2.27,"200,098","204,977",0.98
서울특별시 금천구 (1154500000),"232,250","112,570",2.06,"117,762","114,488",1.03
서울특별시 영등포구 (1156000000),"373,349","179,787",2.08,"184,905","188,444",0.98
서울특별시 동작구 (1159000000),"395,165","183,537",2.15,"191,211","203,954",0.94
서울특별시 관악구 (1162000000),"499,740","273,715",1.83,"250,829","248,911",1.01
서울특별시 서초구 (1165000000),"428,919","173,998",2.47,"205,037","223,882",0.92
서울특별시 강남구 (1168000000),"541,233","233,484",2.32,"258,753","282,480",0.92
서울특별시 송파구 (1171000000),"671,512","280,135",2.4,"324,317","347,195",0.93
서울특별시 강동구 (1174000000),"457,164","193,095",2.37,"225,206","231,958",0.97
부산광역시  (2600000000),"3,404,423","1,513,956",2.25,"1,668,618","1,735,805",0.96
부산광역시 중구 (2611000000),"41,652","23,456",1.78,"20,411","21,241",0.96
부산광역시 서구 (2614000000),"107,947","53,248",2.03,"52,341","55,606",0.94
부산광역시 동구 (2617000000),"89,698","45,873",1.96,"44,003","45,695",0.96
부산광역시 영도구 (2620000000),"115,120","54,866",2.1,"56,700","58,420",0.97
부산광역시 부산진구 (2623000000),"357,242","169,203",2.11,"172,757","184,485",0.94
부산광역시 동래구 (2626000000),"272,476","114,058",2.39,"132,759","139,717",0.95
