구분,2014년,2015년,2016년,2017년,2018년
총계,"21,172","21,352","22,229","24,106","23,467"
서울,"5,473","5,458","6,019","6,963","6,412"
부산,"1,560","1,460","1,325","1,688","1,463"
대구,987,903,883,845,989
인천,"1,205","1,297","1,595","1,694","1,588"
광주,833,750,701,725,720
대전,603,587,624,702,735
울산,445,445,430,411,427
경기남부,"4,612","5,020","3,856","4,008","3,823"
경기북부,,,"1,265","1,277","1,285"
강원,582,577,604,627,699
충북,526,572,626,707,680
충남,895,827,860,885,918
전북,688,646,593,605,676
전남,671,685,683,695,749
경북,772,812,774,841,871
경남,"1,000","1,012",968,"1,058","1,050"
제주,320,301,423,375,382
