	기간	자치구	도시계획시설	도시계획시설.1	도시계획시설.2	도시계획시설.3	도시계획시설.4	도시계획시설.5	도시계획시설.6	도시계획시설.7	도시계획시설.8	도시계획시설.9	도시계획시설.10	도시계획시설.11	도시계획시설.12	도시계획시설.13	도시계획시설.14	도시계획시설.15	도시계획시설.16	도시계획시설.17	도시계획시설.18	도시계획시설.19	도시계획시설.20	도시계획시설.21	도시계획시설.22	도시계획시설.23	도시계획시설.24	도시계획시설.25	도시계획시설.26	도시계획시설.27	도시계획시설.28	도시계획시설.29	도시계획시설.30	도시계획시설.31	도시계획시설.32	도시계획시설.33	도시계획시설.34	도시계획시설.35	도시계획시설.36
0	기간	자치구	합계	교통시설	교통시설	교통시설	교통시설	교통시설	교통시설	교통시설	공간시설	공간시설	공간시설	공간시설	공간시설	유통공급시설	유통공급시설	유통공급시설	유통공급시설	유통공급시설	유통공급시설	유통공급시설	유통공급시설	유통공급시설	공공문화체육시설	공공문화체육시설	공공문화체육시설	공공문화체육시설	공공문화체육시설	공공문화체육시설	공공문화체육시설	방재시설	방재시설	방재시설	보건위생시설	보건위생시설	환경기초시설	환경기초시설	환경기초시설
1	기간	자치구	합계	도로	주차장	자동차정류장	자동차검사시설	철도	공항	자동차운전학원	광장	공원	녹지	유원지	공공공지	시장	유통업무설비	수도	공동구	전기공급설비	가스공급설비	열공급설비	유류저장및송유설비	방송통신시설	체육시설	공공청사	학교	연구시설	문화시설	사회복지시설	청소년수련시설	하천	방수설비	유수지	장사시설	종합의료시설	하수도	폐기물처리시설	수질오염방지시설
2	2019	합계	61,131	52,196	761	87	2	24	1	1	304	2,323	1,076	3	849	160	9	118	35	102	17	10	1	11	51	659	1,259	20	134	326	25	56	62	103	1	21	290	33	1
3	2019	종로구	2,245	1,892	51	-	-	-	-	-	16	81	43	-	42	4	-	4	-	2	-	-	-	-	-	29	35	1	21	6	1	6	1	1	-	-	9	-	-
4	2019	중구	1,220	912	44	-	-	3	-	-	18	65	35	-	50	16	-	-	1	6	-	-	-	-	1	20	26	1	5	9	1	-	-	1	-	-	5	1	-
5	2019	용산구	1,924	1,641	27	1	-	3	-	-	7	82	34	-	29	2	1	1	-	1	-	-	-	-	1	21	33	-	3	9	1	1	8	8	-	2	8	-	-
6	2019	성동구	2,619	2,347	21	2	-	1	-	-	12	72	27	-	38	3	-	2	-	3	1	-	-	-	1	20	33	-	2	4	-	1	6	3	-	-	17	2	1
7	2019	광진구	3,540	3,305	26	2	-	-	-	-	12	52	8	1	24	7	-	5	-	6	1	-	-	-	5	17	35	-	3	9	1	-	2	5	-	1	11	2	-
8	2019	동대문구	2,798	2,487	32	2	-	1	-	-	10	89	37	-	31	6	-	1	-	1	-	-	-	-	-	24	39	3	5	10	-	1	7	2	-	1	8	1	-
9	2019	중랑구	730	405	32	7	-	-	-	-	16	72	37	-	46	10	-	3	-	1	1	1	-	1	4	20	43	-	6	13	1	2	1	4	-	1	2	1	-
10	2019	성북구	955	538	33	5	-	-	-	-	5	82	62	-	91	4	-	10	-	1	-	-	-	1	2	24	58	1	7	14	2	3	2	-	-	-	9	1	-
11	2019	강북구	2,162	1,924	29	6	-	1	-	-	3	52	7	1	38	5	-	9	-	1	-	-	-	-	-	20	30	-	3	15	1	4	3	-	-	-	7	3	-
12	2019	도봉구	2,184	1,939	29	4	-	1	-	-	3	53	10	-	39	5	-	-	-	3	-	-	-	-	3	26	43	-	7	8	2	2	-	-	-	-	5	2	-
13	2019	노원구	2,452	1,954	20	10	1	2	-	-	9	135	81	1	46	3	1	4	2	10	3	-	-	-	5	29	98	1	5	19	3	2	1	2	-	2	2	1	-
14	2019	은평구	3,727	3,347	36	3	-	2	-	-	8	98	38	-	37	5	-	7	2	5	1	-	-	-	1	32	59	-	6	23	1	5	-	4	-	2	2	3	-
15	2019	서대문구	2,756	2,328	27	3	-	-	-	-	4	103	68	-	84	4	-	10	-	1	-	1	-	-	-	25	41	-	7	17	3	1	-	-	-	-	28	1	-
16	2019	마포구	3,340	2,940	21	2	1	-	-	-	14	102	84	-	37	7	-	4	1	3	1	1	-	-	1	30	39	-	6	19	-	2	7	4	-	-	12	2	-
