	기간	자치구	합계	합계.1	경관지구	경관지구.1	경관지구.2	경관지구.3	경관지구.4	경관지구.5	경관지구.6	경관지구.7	경관지구.8	경관지구.9	고도지구	고도지구.1	방화지구	방화지구.1	보호지구	보호지구.1	보호지구.2	보호지구.3	보호지구.4	보호지구.5	보호지구.6	보호지구.7	취락지구	취락지구.1	개발진흥지구	개발진흥지구.1	문화지구	문화지구.1
0	기간	자치구	합계	합계	계	계	자연	자연	시가지	시가지	특화	특화	특화	특화	고도지구	고도지구	방화지구	방화지구	계	계	중요시설물보호시설	중요시설물보호시설	중요시설물보호시설	중요시설물보호시설	중요시설물보호시설	중요시설물보호시설	취락지구	취락지구	개발진흥지구	개발진흥지구	문화지구	문화지구
1	기간	자치구	합계	합계	계	계	자연	자연	시가지	시가지	역사문화	역사문화	조망가로	조망가로	고도지구	고도지구	방화지구	방화지구	계	계	공용시설보호지구	공용시설보호지구	공항시설보호지구	공항시설보호지구	중요시설보호지구	중요시설보호지구	취락지구	취락지구	개발진흥지구	개발진흥지구	문화지구	문화지구
2	기간	자치구	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적	개소	면적
3	2019	합계	197	93,084,164	42	16,324,024	19	12,403,458	1	159,569	6	2,927,635	16	833,362	9	9,441,269	107	3,449,159	3	59,483,962	1	922,500	1	57,931,000	1	630,462	24	455,648	9	2,897,681	3	1,032,421
4	2019	종로구	28	7,000,639	3	3,832,011	2	3,051,276	-	-	1	780,735	-	-	2	1,670,090	16	680,397	-	-	-	-	-	-	-	-	4	54,974	1	140,855	2	622,312
5	2019	중구	24	4,851,156	2	1,273,993	1	573,993	-	-	1	700,000	-	-	-	1,179,261	20	1,878,122	-	-	-	-	-	-	-	-	-	-	2	519,780	-	-
6	2019	용산구	16	3,112,378	3	1,179,897	2	1,003,488	-	-	1	176,409	-	-	1	1,797,908	12	134,573	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	2019	성동구	8	963,010	1	361,804	1	244,400	-	-	-	117,404	-	-	-	-	6	61,800	-	-	-	-	-	-	-	-	-	-	1	539,406	-	-
8	2019	광진구	6	984,115	5	765,115	2	475,667	-	-	1	170,037	2	119,411	1	219,000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	2019	동대문구	15	1,460,275	2	1,042,770	2	1,042,770	-	-	-	-	-	-	1	40,180	11	165,970	-	-	-	-	-	-	-	-	-	-	1	211,355	-	-
10	2019	중랑구	5	501,220	3	206,877	-	-	-	-	-	-	3	206,877	-	-	1	2,343	-	-	-	-	-	-	-	-	-	-	1	292,000	-	-
11	2019	성북구	12	3,255,749	3	3,181,954	2	3,157,246	-	-	-	-	1	24,708	-	-	8	69,049	-	-	-	-	-	-	-	-	1	4,746	-	-	-	-
12	2019	강북구	3	3,373,924	2	983,924	1	847,861	-	-	-	-	1	136,063	1	2,390,000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	2019	도봉구	1	1,224,753	1	57,753	-	-	-	-	-	-	1	57,753	-	1,167,000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	2019	은평구	5	140,233	3	68,309	-	-	-	-	-	-	3	68,309	-	-	1	2,780	-	-	-	-	-	-	-	-	1	69,144	-	-	-	-
15	2019	서대문구	10	1,734,033	1	1,602,661	1	1,602,661	-	-	-	-	-	-	-	-	9	131,372	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	2019	마포구	9	1,219,690	3	293,205	2	92,554	-	-	1	200,651	-	-	-	-	5	179,491	-	-	-	-	-	-	-	-	-	-	1	746,994	-	-
17	2019	양천구	-	9,848,657	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9,848,657	-	-	-	9,650,860	-	197,797	-	-	-	-	-	-
18	2019	강서구	4	42,499,009	1	146,069	1	123,316	-	-	-	22,753	-	-	-	-	1	1,980	2	42,350,960	-	-	1	41,918,295	1	432,665	-	-	-	-	-	-
19	2019	구로구	3	6,467,422	-	-	-	-	-	-	-	-	-	-	1	94,130	1	1,666	-	6,361,845	-	-	-	6,361,845	-	-	1	9,781	-	-	-	-
20	2019	금천구	2	4,290	-	-	-	-	-	-	-	-	-	-	-	-	2	4,290	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	2019	영등포구	8	2,315,709	-	156,349	-	-	-	-	-	156,349	-	-	1	770,000	5	79,391	1	922,500	1	922,500	-	-	-	-	-	-	1	387,469	-	-
22	2019	동작구	10	346,750	2	293,619	2	188,226	-	-	-	105,393	-	-	-	-	8	53,131	-	-	-	-	-	-	-	-	-	-	-	-	-	-
23	2019	관악구	1	2,804	-	-	-	-	-	-	-	-	-	-	-	-	1	2,804	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	2019	서초구	10	861,938	1	160,879	-	-	-	-	-	133,473	1	27,406	1	113,700	-	-	-	-	-	-	-	-	-	-	6	117,428	1	59,822	1	410,109
25	2019	강남구	6	472,917	3	393,162	-	-	1	159,569	1	183,577	1	50,016	-	-	-	-	-	-	-	-	-	-	-	-	3	79,755	-	-	-	-
26	2019	송파구	2	232,655	2	232,655	-	-	-	-	-	141,641	2	91,014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
27	2019	강동구	9	210,838	1	91,018	-	-	-	-	-	39,213	1	51,805	-	-	-	-	-	-	-	-	-	-	-	-	8	119,820	-	-	-	-
