	기간	자치구	구분	구분.1	구분.2	구분.3	구분.4	구분.5	구분.6	구분.7	구분.8	구분.9	구분.10	구분.11	구분.12	구분.13	구분.14	구분.15	구분.16	구분.17	구분.18	구분.19	구분.20	구분.21
0	기간	자치구	용도지역총합계	주거지역	주거지역	주거지역	주거지역	주거지역	주거지역	주거지역	주거지역	주거지역	주거지역	상업지역	상업지역	상업지역	상업지역	상업지역	공업지역	공업지역	녹지지역	녹지지역	녹지지역	녹지지역
1	기간	자치구	용도지역총합계	소계	전용주거지역	전용주거지역	전용주거지역	일반주거지역	일반주거지역	일반주거지역	일반주거지역	일반주거지역	준주거지역	소계	중심	일반	근린	유통	소계	준공업	소계	보전	생산	자연
2	기간	자치구	용도지역총합계	소계	전용주거지역 계	제1종전용	제2종전용	일반주거지역 계	제1종일반	제2종일반(7층이하)	제2종일반	제3종일반	준주거지역	소계	중심	일반	근린	유통	소계	준공업	소계	보전	생산	자연
3	2018	서울특별시	605,598,289	326,024,047	5,744,161	4,992,165	751,996	306,969,692	67,408,784	85,790,829	55,413,997	98,356,082	13,310,194	25,501,150	358,676	22,777,614	825,752	1,539,108	19,977,061	19,977,061	234,096,033	72,603	1,057,622	232,965,808
4	2018	종로구	23,972,507	9,830,557	1,589,410	1,589,410	-	8,042,048	4,376,181	2,198,489	704,764	762,614	199,099	2,937,285	-	2,937,285	-	-	-	-	11,204,665	-	-	11,204,665
5	2018	중구	9,974,292	6,037,439	-	-	-	5,764,992	2,767,697	1,276,251	549,303	1,171,741	272,447	3,911,718	321,414	3,590,304	-	-	-	-	25,135	-	-	25,135
6	2018	용산구	21,898,766	12,107,810	224,153	224,153	-	11,323,928	4,145,163	3,285,406	1,094,957	2,798,402	559,729	1,260,795	-	1,260,795	-	-	-	-	8,530,162	72,603	-	8,457,559
7	2018	성동구	16,804,426	9,947,641	-	-	-	9,683,269	2,387,584	3,111,567	1,217,059	2,967,059	264,372	473,145	-	397,688	3,052	72,405	2,051,234	2,051,234	4,332,406	-	-	4,332,406
8	2018	광진구	17,075,115	11,598,584	140,987	140,987	-	10,476,026	2,239,038	2,895,373	2,808,916	2,532,699	981,571	201,658	-	201,658	-	-	-	-	5,274,873	-	-	5,274,873
9	2018	동대문구	14,245,433	13,034,193	-	-	-	12,483,322	2,702,669	3,547,809	2,358,058	3,874,786	550,871	828,159	-	745,441	62,456	20,262	-	-	383,081	-	-	383,081
10	2018	중랑구	18,531,520	10,821,891	-	-	-	9,992,764	1,043,162	4,154,125	1,570,013	3,225,464	829,127	357,442	-	255,092	102,350	-	-	-	7,352,187	-	-	7,352,187
11	2018	성북구	24,621,422	17,791,331	974,866	974,866	-	16,254,133	5,145,544	4,349,355	2,572,758	4,186,476	562,332	397,229	-	332,833	64,396	-	-	-	6,432,862	-	-	6,432,862
12	2018	강북구	23,636,019	10,985,275	-	-	-	10,552,450	2,925,399	4,241,367	1,035,390	2,350,294	432,825	270,342	-	270,342	-	-	-	-	12,380,402	-	-	12,380,402
13	2018	도봉구	20,679,052	8,089,653	-	-	-	7,669,111	1,773,756	2,633,143	716,413	2,545,799	420,542	258,659	-	239,431	19,228	-	1,489,295	1,489,295	10,841,445	-	-	10,841,445
14	2018	노원구	35,595,942	13,980,338	92,455	13,361	79,094	13,519,476	1,355,487	2,611,717	2,050,884	7,501,388	368,407	589,023	-	589,023	-	-	-	-	21,026,581	-	-	21,026,581
15	2018	은평구	29,788,522	15,376,440	796,387	123,485	672,902	13,572,775	3,065,944	4,440,322	3,971,678	2,094,831	1,007,278	510,002	-	410,949	99,053	-	-	-	13,902,080	-	-	13,902,080
16	2018	서대문구	17,685,973	15,439,372	354,625	354,625	-	14,739,290	6,589,067	2,394,134	2,864,143	2,891,946	345,457	283,546	-	274,391	9,155	-	-	-	1,963,055	-	-	1,963,055
17	2018	마포구	23,890,251	13,391,126	-	-	-	12,581,051	1,003,364	4,809,150	3,034,620	3,733,917	810,075	940,188	37,262	757,236	89,128	56,562	-	-	9,558,937	-	-	9,558,937
18	2018	양천구	17,469,613	12,536,636	-	-	-	12,201,316	1,336,705	3,622,034	2,294,991	4,947,586	335,320	796,830	-	733,026	63,804	-	92,872	92,872	4,043,275	-	-	4,043,275
19	2018	강서구	41,462,497	14,719,962	157,968	157,968	-	13,750,000	2,435,477	4,785,380	1,280,407	5,248,736	811,994	1,321,659	-	992,742	80,662	248,255	2,919,995	2,919,995	22,500,881	-	371,340	22,129,541
20	2018	구로구	20,136,328	10,188,383	-	-	-	9,898,054	1,276,259	3,966,323	1,916,694	2,738,778	290,329	513,589	-	513,589	-	-	4,276,794	4,276,794	5,157,562	-	857	5,156,705
21	2018	금천구	13,012,685	5,845,488	-	-	-	5,571,845	1,407,087	2,451,981	719,842	992,935	273,643	149,622	-	102,906	46,716	-	4,121,945	4,121,945	2,895,630	-	-	2,895,630
22	2018	영등포구	24,354,829	8,013,840	-	-	-	7,068,067	526,257	3,115,842	1,717,513	1,708,455	945,773	2,607,260	-	2,559,127	48,133	-	5,024,926	5,024,926	8,708,804	-	-	8,708,804
23	2018	동작구	16,387,882	13,790,984	-	-	-	13,546,850	4,034,682	3,743,558	2,067,893	3,700,717	244,134	344,623	-	267,548	30,777	46,298	-	-	2,252,275	-	-	2,252,275
24	2018	관악구	29,563,482	15,327,248	-	-	-	14,622,686	5,308,646	4,945,145	1,303,946	3,064,949	704,562	390,187	-	390,187	-	-	-	-	13,846,047	-	-	13,846,047
25	2018	서초구	46,899,887	18,887,265	680,243	680,243	-	17,839,919	3,394,881	3,038,999	3,034,549	8,371,490	367,103	1,320,064	-	1,320,064	-	-	-	-	26,692,558	-	-	26,692,558
26	2018	강남구	39,497,268	24,298,708	614,211	614,211	-	23,376,592	3,483,398	3,458,169	5,275,599	11,159,426	307,905	1,875,445	-	1,875,445	-	-	-	-	13,323,115	-	263,088	13,060,027
27	2018	송파구	33,858,375	21,017,099	72,137	72,137	-	20,064,119	1,891,004	4,591,705	3,692,098	9,889,312	880,843	2,283,335	-	1,178,942	9,067	1,095,326	-	-	10,557,941	-	422,337	10,135,604
28	2018	강동구	24,556,203	12,966,784	46,719	46,719	-	12,375,609	794,333	2,123,485	5,561,509	3,896,282	544,456	679,345	-	581,570	97,775	-	-	-	10,910,074	-	-	10,910,074
