점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자,제공기관코드,제공기관명
세븐일레븐 은천점,서울특별시,관악구,11620,서울특별시 관악구 봉천로 335,,37.4853213624,126.9378633,02-871-1785,관악경찰서,,Y,2020-05-31,3200000,서울특별시 관악구
세븐일레븐 세븐일레븐 신림녹두점,서울특별시,관악구,11620,서울특별시 관악구 신림로97,,37.4703181717,126.9386411,02-871-1903,관악경찰서,,Y,2020-05-31,3200000,서울특별시 관악구
세븐일레븐 관악대학점,서울특별시,관악구,11620,서울특별시 관악구 호암로24길 56,,37.4693005080,126.9361614,02-781-7920,관악경찰서,,Y,2020-05-31,3200000,서울특별시 관악구
세븐일레븐 신림문화점,서울특별시,관악구,11620,서울특별시 관악구 신림동길 15,,37.4871171933,126.9270325,02-2025-8967,관악경찰서,,Y,2020-05-31,3200000,서울특별시 관악구
씨스페이스 구로공단점,서울특별시,관악구,11620,서울특별시 관악구 조원로 6,,37.4834055496,126.9027248,02-856-4280,관악경찰서,,Y,2020-05-31,3200000,서울특별시 관악구
GS25 망원중앙,서울특별시,마포구,11440,서울특별시 마포구 월드컵로 126 GS25 망원중앙,서울특별시 마포구 성산동 260-39 GS25 망원중앙,37.559499,126.907229,02-3144-6685,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 마포도화,서울특별시,마포구,11440,서울특별시 마포구 도화2길 2 GS25 마포도화,서울특별시 마포구 도화동 344 GS25 마포도화,37.540322,126.948562,02-3272-2225,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 상암9단지,서울특별시,마포구,11440,서울특별시 마포구 월드컵북로 501 GS25 상암9단지,"서울특별시 마포구 상암동 1752상암월드컵파크9단지104,5호 GS25 상암9단지",37.583477,126.878551,,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 홍대동교,서울특별시,마포구,11440,서울특별시 마포구 양화로21길 21 GS25 홍대동교,서울특별시 마포구 동교동 154-1 GS25 홍대동교,37.559030,126.924825,02-322-7590,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 연남공원,서울특별시,마포구,11440,서울특별시 마포구 동교로29길 32 GS25 연남공원,서울특별시 마포구 연남동 257-23 GS25 연남공원,37.561863,126.923245,02-324-7978,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 연남타운,서울특별시,마포구,11440,서울특별시 마포구 월드컵북로6길 69 GS25 연남타운,서울특별시 마포구 월드컵북로6길 69(연남동 567-11) GS25 연남타운,37.559695,126.921725,070-8959-3702,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 서교본,서울특별시,마포구,11440,서울특별시 마포구 동교로17안길 51 GS25 서교본,서울특별시 마포구 동교로17안길 51 (서교동 448-25) GS25 서교본,37.556496,126.918738,02-322-2520,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 연남경성점,서울특별시,마포구,11440,서울특별시 마포구 성미산로 112 GS25 연남경성점,서울특별시 마포구 성미산로 112(연남동 504-1) GS25 연남경성점,37.562042,126.919500,02-332-7286,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 합정청마점,서울특별시,마포구,11440,서울특별시 마포구 포은로 42 GS25 합정청마점,"서울특별시 마포구 포은로 42, 1층(합정동 434-8) GS25 합정청마점",37.551283,126.907200,02-335-3951,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 합정본점,서울특별시,마포구,11440,서울특별시 마포구 양화로 59 GS25 합정본점,"서울특별시 마포구 양화로 59, 1층(서교동 393-5) GS25 합정본점",37.550638,126.914800,02-3144-1013,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
GS25 도화정진점,서울특별시,마포구,11440,서울특별시 마포구 도화4길 88 GS25 도화정진점,"서울특별시 마포구 도화4길 88, 1층(도화동 347-60) GS25 도화정진점",37.538445,126.960600,02-711-3722,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 서교중앙점,서울특별시,마포구,11440,서울특별시 마포구 잔다리로 96 CU 서교중앙점,서울특별시 마포구 서교동 459-1번지 CU 서교중앙점,37.555717,126.915309,02-322-4591,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 한강시민공원점,서울특별시,마포구,11440,서울특별시 마포구 망원로 8 CU 한강시민공원점,서울특별시 마포구 망원동 462-14번지 CU 한강시민공원점,37.555663,126.897767,02-336-2044,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 망원2동점,서울특별시,마포구,11440,서울특별시 마포구 방울내로 38 CU 망원2동점,서울특별시 마포구 망원동 431-43번지 CU 망원2동점,37.558640,126.900168,02-333-6396,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 신합정공원점,서울특별시,마포구,11440,서울특별시 마포구 포은로 27 CU 신합정공원점,서울특별시 마포구 합정동 395-1번지 CU 신합정공원점,37.550136,126.908090,02-323-3320,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 서교3호점,서울특별시,마포구,11440,서울특별시 마포구 양화로 100-13 CU 서교3호점,서울특별시 마포구 서교동 370-18번지 CU 서교3호점,37.552456,126.919283,070-7778-5347,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 홍대3호점,서울특별시,마포구,11440,서울특별시 마포구 와우산로29길 16 CU 홍대3호점,서울특별시 마포구 서교동 328-13번지 CU 홍대3호점,37.554995,126.928968,02-325-2237,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 연남파크점,서울특별시,마포구,11440,서울특별시 마포구 성미산로32길 47 CU 연남파크점,서울특별시 마포구 연남동 256-6 CU 연남파크점,37.562768,126.922600,02-322-3272,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 합정태양점,서울특별시,마포구,11440,서울특별시 마포구 독막로5길 5 CU 합정태양점,서울특별시 마포구 합정동 412-8번지 CU 합정태양점,37.548433,126.917825,02-333-6354,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 신촌그랜드점,서울특별시,마포구,11440,서울특별시 마포구 서강로 119 CU 신촌그랜드점,서울특별시 마포구 노고산동 56-74번지 CU 신촌그랜드점,37.553922,126.933907,02-322-2627,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 마포마이다스점,서울특별시,마포구,11440,서울특별시 마포구 월드컵로36길 18 CU 마포마이다스점,서울특별시 마포구 월드컵로 36길 18 삼라마이다스 101호 CU 마포마이다스점,37.566248,126.903395,02-304-2382,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 망원월드컵점,서울특별시,마포구,11440,서울특별시 마포구 망원로 95 CU 망원월드컵점,서울특별시 마포구 망원로 95 CU 망원월드컵점,37.557904,126.907252,02-335-1589,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
CU 마포구청점,서울특별시,마포구,11440,서울특별시 마포구 월드컵로 139 CU 마포구청점,서울특별시 마포구 월드컵로 139 (망원동) CU 마포구청점,37.560216,126.905894,02-3141-4928,서울마포경찰서,,Y,2019-07-10,3130000,서울특별시 마포구
여성권익시설 푸른희망담쟁이,인천광역시,중구,28110,인천광역시 중구 인중로(비공개시설),인천광역시 중구 선화동(비공개시설),37.4709409,126.6278222,032-886-1366,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 영종을왕중앙점,인천광역시,중구,28110,인천광역시 중구 용유서로 520,인천광역시 중구 을왕동 916,37.46431048,126.372447,,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 중구도원로점,인천광역시,중구,28110,인천광역시 중구 도원로 59-1,인천광역시 중구 유동 9-3,37.469714,126.638615,,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 월미문화로점,인천광역시,중구,28110,인천광역시 중구 월미문화로 53,인천광역시 중구 북성동1가 98-432,37.47364031,126.597021,032-777-3568,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 을왕리점,인천광역시,중구,28110,인천광역시 중구 용유서로 298,인천광역시 중구 을왕동 727,37.44524001,126.376205,032-752-2220,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
GS25  오일캠프점,인천광역시,중구,28110,인천광역시 중구 축항대로 280,인천광역시 중구 신흥동3가 53-1,37.44793395,126.625911,032-888-2066,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 내트럭점,인천광역시,중구,28110,인천광역시 중구 축항대로 296번길 183,인천광역시 중구 신흥동3가 70,37.43169473,126.6238225,032-891-7119,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 하늘도시점,인천광역시,중구,28110,인천광역시 중구 하늘달빛로 90-21,인천광역시 중구 중산동 1876-9,37.486515,126.559354,,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
세븐일레븐 기독병원,인천광역시,중구,28110,인천광역시 중구 답동로 31,인천광역시 중구 경동 218-2,37.47163701,126.631414,032-762-5931,인천중부경찰서,2018,Y,2020-06-23,3490000,인천광역시 중구
CU 당산중앙점,서울특별시,영등포구,11560,서울특별시 영등포구 당산로49길 6,서울특별시 영등포구 당산동 6가 324-5,37.535542,126.902427,02-2068-8496,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 대림디지털점,서울특별시,영등포구,11560,서울특별시 영등포구 디지털로 404,서울특별시 영등포구 대림동 868-15,37.492568,126.9036604,02-831-7091,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 문래한신점,서울특별시,영등포구,11560,서울특별시 영등포구 문래로20길 14,서울특별시 영등포구 문래동3가 77-2 문래공원한신아파트,37.51713467,126.8933186,02-2632-0026,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 선유도역점,서울특별시,영등포구,11560,서울특별시 영등포구 양평로22길 21,서울특별시 영등포구 양평동5가 106-1,37.53980867,126.8946576,02-2062-5266,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 신길오피스점,서울특별시,영등포구,11560,서울특별시 영등포구 경인로114나길 5-1,서울특별시 영등포구 영등포동1가54,37.517311,126.9132052,02-2671-3218,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 여의도아이비점,서울특별시,영등포구,11560,서울특별시 영등포구 국제금융로 86,서울특별시 영등포구 여의도동 43-4 롯데캐슬아이비,37.52020495,126.9318022,02-780-9227,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
CU 여의동산점,서울특별시,영등포구,11560,서울특별시 영등포구 여의대방로417,서울특별시 영등포구 여의도동41-2 대교상가 비,37.521033,126.9343081,02-783-8400,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 당산양남점,서울특별시,영등포구,11560,서울특별시 영등포구 선유동1로 12-1,서울특별시 영등포구 당산동2가 111,37.52320971,126.891845,02-2636-7211,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 대림본점,서울특별시,영등포구,11560,서울특별시 영등포구 디지털로54가길 2,서울특별시 영등포구 대림2동 1024-11,37.48881902,126.902996,02-848-5070,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 대림성모점,서울특별시,영등포구,11560,서울특별시 영등포구 시흥대로 663,서울특별시 영등포구 대림동 962-4,37.49100318,126.9076485,02-834-9491,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
GS25 대림역점,서울특별시,영등포구,11560,서울특별시 영등포구 대림로29길 43,서울특별시 영등포구 대림3동 808-26,37.493751,126.895409,02-832-5931,영등포경찰서,2017,Y,2020-07-06,3180000,서울특별시 영등포구
