시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
여성안심택배함,전라남도,광양시,46230,전라남도 광양시 희망길 42,전라남도 광양시 금호동 624-22,34.93701765,127.7231654,00:00,23:59,00:00,23:59,00:00,23:59,0,0,0,2,"택배 신청시 안심택배함으로 발송, 택배함 비밀번호 발송 후",대형/01+중형/02+중소형/03+소형/04,01/05+02/06+03/19+04/08,01/60+02/60+03/60+04/60,01/50+02/50+03/50+04/50,01/60+02/45+03/30+04/22,2014-12-31,061-797-2776,광양시 사회복지과,061-797-2776,2020-02-29,4840000,전라남도 광양시
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 세검정로4길 32(홍제3동),서울특별시 서대문구 홍제동 7-13,37.593813,126.949677,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2017-05-31,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11130,서울특별시 서대문구 북아현로22길 38(북아현동),서울특별시 서대문구 북아현동 1-90,37.564781,126.954713,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,25,0.6,2,2.3,2018-05-30,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
여성안심택배함,서울특별시,서대문구,11131,서울특별시 서대문구 남가좌동 328-17,,37.576250,126.926375,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,03,"부재중 택배 수령이 어려운 경우 물품주문시 택배 수령 장소를 가까운 무인택배보관함으로 지정하고, 핸드폰번호 및 인증번호 인증절차를 거쳐 물건을 찾아가면 됨.",3,19,0.6,2,2.3,2019-05-30,070-7615-7200,서대문구청 여성가족과,02-330-8236,2019-01-01,3120000,서울특별시 서대문구
갈현1동주민센터,서울특별시,은평구,11380,서울특별시 은평구 갈현로 301 안심택배함,,37.6236889300,126.9166790000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,25,55,45,22,2013-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
구산동주민센터,서울특별시,은평구,11380,서울특별시 은평구 갈현로 17길 10 안심택배함,,37.6117551700,126.9103506000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2015-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
녹번119안전센터청사,서울특별시,은평구,11380,서울특별시 은평구 은평로 245 안심택배함,,37.6011057900,126.9351485000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2014-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
불광1치안센터,서울특별시,은평구,11380,서울특별시 은평구 불광로 129 안심택배함,,37.6183045300,126.9329326000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,20,55,45,22,2014-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
신사종합사회복지관,서울특별시,은평구,11380,서울특별시 은평구 은평로 38 안심택배함,,37.5980494400,126.9121923000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2014-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
역촌동주민센터,서울특별시,은평구,11380,서울특별시 은평구 연서로 59 안심택배함,,37.6044014200,126.9151011000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2013-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
증산정보도서관,서울특별시,은평구,11380,서울특별시 은평구 증산로5길 6 안심택배함,,37.5828072900,126.9076699000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,37,55,45,22,2013-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
대조동꿈나무어린이도서관,서울특별시,은평구,11380,서울특별시 은평구 연서로 20길 24-6 안심택배함,,37.6138235900,126.9207184000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,16,55,45,22,2017-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
연신내지구대,서울특별시,은평구,11380,서울특별시 은평구 갈현로 195 안심택배함,,37.6152098600,126.9127129000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,16,55,45,22,2016-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
불광보건소,서울특별시,은평구,11380,서울특별시 은평구 연서로24길 11 안심택배함,,37.6159264400,126.9201103000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,16,55,45,22,2016-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
아인스하임,서울특별시,은평구,11380,서울특별시 은평구 은평터널로7가길 8 안심택배함,,37.5920921000,126.9032943000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,13,55,45,22,2016-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구
자양종합사회복지관,서울특별시,광진구,11215,서울특별시 광진구 자양번영로 35,,37.532800,127.0752330874,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/13+04/2,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2016-06-07,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
중곡문화체육센터,서울특별시,광진구,11215,서울특별시 광진구 능동로 433,,37.5677777604,127.0848034472,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/13+04/2,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2016-06-07,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
중곡종합건강센터,서울특별시,광진구,11215,서울특별시 광진구 긴고랑로 110,,37.559320,127.087090,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/1+02/3+03/13+04/2,01/60+02/60+03/60+04/60,01/50+02/50+03/45+04/50,01/90+02/45+03/30+04/22.5,2016-06-07,1899-4711,㈜새누에스씨,02-450-7568,2019-02-28,3040000,서울특별시 광진구
