,regionID,province,city,date,infectionCase,Confirmed,accumulated,briefingDate,note,className
0,10.0,서울,,2020-07-06,서울 롯데 미도파 광화문 빌딩,5.0,6.0,2020-07-10,7월 6일 지표환자 1명 이후 5명 확진,직장
1,10.0,서울,,2020-07-06,서울 롯데 미도파 광화문 빌딩,1.0,7.0,2020-07-11,,직장
2,10.0,서울,,2020-08-11,서울 롯데리아 종사자 모임,6.0,7.0,2020-08-12,,"가족, 지인 및 소모임"
3,10.0,서울,,2020-08-11,서울 롯데리아 종사자 모임,4.0,11.0,2020-08-13,,"가족, 지인 및 소모임"
4,10.0,서울,,2020-08-11,서울 롯데리아 종사자 모임,4.0,15.0,2020-08-14,,"가족, 지인 및 소모임"
5,10.0,서울,,2020-08-11,서울 롯데리아 종사자 모임,1.0,16.0,2020-08-15,,"가족, 지인 및 소모임"
6,10.0,서울,,2020-08-11,서울 롯데리아 종사자 모임,2.0,18.0,2020-08-19,,"가족, 지인 및 소모임"
7,10.0,서울,,2020-11-02,서울 언론사 취재진,,7.0,2020-11-05,,기타
8,10.0,서울,,2020-07-11,서울 한화생명,4.0,5.0,2020-07-15,7월 11일 지표환자 1명 추가,직장
9,10.0,서울,,2020-07-11,서울 한화생명,3.0,8.0,2020-07-17,,직장
10,10.0,서울,,2020-07-11,서울 한화생명,3.0,11.0,2020-07-18,,직장
11,10.0,서울,,2020-07-11,서울 한화생명,2.0,13.0,2020-07-19,,직장
12,10.0,서울,,2020-08-04,선교회 소모임,2.0,4.0,2020-08-08,7월 19일 같은 선교회 소모임 참석한 두 부부 7/22-23 확진판정,종교시설 및 단체
13,10.0,서울,,2020-11-25,어플소모임,21.0,22.0,2020-11-28,,"가족, 지인 및 소모임"
14,10.0,서울,,2020-11-25,어플소모임,4.0,26.0,2020-11-29,,"가족, 지인 및 소모임"
15,10.0,서울,,2020-10-29,음악교습,,16.0,2020-11-01,,교육시설 및 단체
16,10.0,서울,,2020-10-29,음악교습,2.0,18.0,2020-11-02,,교육시설 및 단체
17,10.0,서울,,2020-10-29,음악교습,4.0,22.0,2020-11-03,,교육시설 및 단체
18,10.0,서울,,2020-10-29,음악교습,1.0,23.0,2020-11-04,,교육시설 및 단체
19,10.0,서울,강남/서초구,2020-10-15,강남/서초 지인모임,9.0,10.0,2020-10-20,,"가족, 지인 및 소모임"
20,10.0,서울,강남/서초구,2020-10-15,강남/서초 지인모임,8.0,18.0,2020-10-21,,"가족, 지인 및 소모임"
21,10.0,서울,강남/서초구,2020-10-15,강남/서초 지인모임,4.0,29.0,2020-10-24,,"가족, 지인 및 소모임"
22,10.0,서울,강남/서초구,2020-10-15,강남/서초 지인모임,1.0,30.0,2020-10-29,,"가족, 지인 및 소모임"
23,10.0,서울,강남/서초구,2020-10-15,강남/서초 지인모임,1.0,31.0,2020-10-30,,"가족, 지인 및 소모임"
24,10.0,서울,강남구/서초구,2020-10-15,강남/서초 지인모임,2.0,33.0,2020-11-06,,"가족, 지인 및 소모임"
25,10.0,서울,강남구,2020-08-11,강남구 골드트레인,2.0,18.0,2020-08-14,"경기도 남양주시 일가족 환자(3명), 광진구 일가족 환자(5명) 연관성 확인",직장
26,10.0,서울,강남구,2020-08-11,강남구 골드트레인,2.0,20.0,2020-08-15,,직장
27,10.0,서울,강남구,2020-08-11,강남구 골드트레인/양평군 단체모임,5.0,56.0,2020-08-16,경기도 양평군 단체모임과 연관성 확인됨,직장
28,10.0,서울,강남구,2020-08-11,강남구 골드트레인/양평군 단체모임,2.0,58.0,2020-08-17,,직장
29,10.0,서울,강남구,2020-08-11,강남구 골드트레인/양평군 단체모임,15.0,73.0,2020-08-18,,직장
